File	Name:	


Created:	09:43	02-01-08
Data:	Original

Instrument:	RF-5301
Spectrum	Type:	EM
Scan	Range:	340.0nm	to	700.0nm
EX	Wavelength:	312.0nm
Sample	Pitch:	1.0
Slit	Width:	EX:5.0nm	EM:5.0nm
Scan	Speed:	Fast
Sensitivity:	High
Response	Time:	Auto	
Shutter:	Manual,	Open

	Wavelength	(nm)	Intensity
	340.0	54.017	
	341.0	56.256	
	342.0	61.917	
	343.0	64.715	
	344.0	64.963	
	345.0	65.939	
	346.0	69.075	
	347.0	70.911	
	348.0	70.764	
	349.0	70.531	
	350.0	73.612	
	351.0	71.273	
	352.0	70.357	
	353.0	75.375	
	354.0	73.477	
	355.0	76.055	
	356.0	76.432	
	357.0	76.469	
	358.0	81.393	
	359.0	84.263	
	360.0	85.639	
	361.0	86.481	
	362.0	90.252	
	363.0	92.715	
	364.0	97.193	
	365.0	97.560	
	366.0	102.408	
	367.0	101.477	
	368.0	104.461	
	369.0	109.743	
	370.0	111.031	
	371.0	114.857	
	372.0	116.004	
	373.0	120.776	
	374.0	130.669	
	375.0	135.033	
	376.0	140.735	
	377.0	148.039	
	378.0	152.752	
	379.0	155.441	
	380.0	164.132	
	381.0	173.937	
	382.0	178.308	
	383.0	185.122	
	384.0	194.704	
	385.0	199.863	
	386.0	206.585	
	387.0	210.705	
	388.0	215.931	
	389.0	232.607	
	390.0	231.557	
	391.0	238.814	
	392.0	248.428	
	393.0	264.879	
	394.0	273.699	
	395.0	279.147	
	396.0	286.102	
	397.0	299.391	
	398.0	317.021	
	399.0	330.452	
	400.0	349.074	
	401.0	365.862	
	402.0	376.641	
	403.0	398.855	
	404.0	411.709	
	405.0	433.172	
	406.0	458.967	
	407.0	472.449	
	408.0	493.099	
	409.0	513.121	
	410.0	531.545	
	411.0	560.130	
	412.0	581.746	
	413.0	596.894	
	414.0	634.146	
	415.0	643.160	
	416.0	672.806	
	417.0	706.424	
	418.0	714.683	
	419.0	743.193	
	420.0	757.024	
	421.0	788.828	
	422.0	806.360	
	423.0	837.806	
	424.0	861.238	
	425.0	861.556	
	426.0	894.546	
	427.0	919.411	
	428.0	916.307	
	429.0	941.974	
	430.0	950.630	
	431.0	961.406	
	432.0	981.629	
	433.0	987.998	
	434.0	1004.559	
	435.0	1003.302	
	436.0	1001.483	
	437.0	1010.607	
	438.0	1015.498	
	439.0	1015.662	
	440.0	1015.662	
	441.0	1015.554	
	442.0	1015.662	
	443.0	1015.662	
	444.0	1015.662	
	445.0	1006.191	
	446.0	1015.662	
	447.0	1005.883	
	448.0	1003.373	
	449.0	993.357	
	450.0	987.455	
	451.0	971.943	
	452.0	968.245	
	453.0	956.574	
	454.0	952.281	
	455.0	929.812	
	456.0	912.744	
	457.0	905.564	
	458.0	897.832	
	459.0	877.024	
	460.0	861.514	
	461.0	850.783	
	462.0	837.519	
	463.0	823.498	
	464.0	806.812	
	465.0	796.815	
	466.0	776.740	
	467.0	753.136	
	468.0	747.702	
	469.0	738.970	
	470.0	718.975	
	471.0	698.179	
	472.0	685.740	
	473.0	656.458	
	474.0	659.065	
	475.0	639.545	
	476.0	628.231	
	477.0	610.099	
	478.0	598.961	
	479.0	585.559	
	480.0	557.633	
	481.0	545.169	
	482.0	533.203	
	483.0	517.248	
	484.0	510.476	
	485.0	490.419	
	486.0	485.009	
	487.0	463.553	
	488.0	461.214	
	489.0	442.716	
	490.0	428.539	
	491.0	417.761	
	492.0	407.116	
	493.0	388.247	
	494.0	384.434	
	495.0	361.921	
	496.0	353.184	
	497.0	345.766	
	498.0	339.513	
	499.0	323.959	
	500.0	314.230	
	501.0	310.438	
	502.0	302.359	
	503.0	287.079	
	504.0	277.425	
	505.0	267.835	
	506.0	262.029	
	507.0	251.712	
	508.0	248.172	
	509.0	236.944	
	510.0	226.323	
	511.0	226.911	
	512.0	214.175	
	513.0	206.576	
	514.0	199.925	
	515.0	195.561	
	516.0	187.725	
	517.0	181.452	
	518.0	177.013	
	519.0	172.609	
	520.0	165.815	
	521.0	157.780	
	522.0	156.760	
	523.0	151.470	
	524.0	144.937	
	525.0	138.192	
	526.0	137.337	
	527.0	129.750	
	528.0	127.073	
	529.0	127.998	
	530.0	121.718	
	531.0	115.932	
	532.0	109.646	
	533.0	106.804	
	534.0	108.260	
	535.0	100.664	
	536.0	97.111	
	537.0	97.185	
	538.0	89.570	
	539.0	90.078	
	540.0	84.418	
	541.0	80.350	
	542.0	80.784	
	543.0	75.191	
	544.0	75.119	
	545.0	70.661	
	546.0	67.652	
	547.0	67.801	
	548.0	61.634	
	549.0	58.435	
	550.0	59.125	
	551.0	55.007	
	552.0	53.633	
	553.0	52.533	
	554.0	50.263	
	555.0	49.152	
	556.0	45.647	
	557.0	45.198	
	558.0	41.707	
	559.0	40.654	
	560.0	40.445	
	561.0	39.656	
	562.0	36.855	
	563.0	38.010	
	564.0	34.779	
	565.0	34.187	
	566.0	33.543	
	567.0	31.963	
	568.0	29.936	
	569.0	31.286	
	570.0	29.030	
	571.0	28.282	
	572.0	27.898	
	573.0	27.623	
	574.0	26.612	
	575.0	25.580	
	576.0	23.973	
	577.0	24.382	
	578.0	23.450	
	579.0	22.154	
	580.0	21.961	
	581.0	21.302	
	582.0	20.894	
	583.0	20.809	
	584.0	21.827	
	585.0	19.528	
	586.0	20.047	
	587.0	18.241	
	588.0	17.997	
	589.0	17.973	
	590.0	19.012	
	591.0	16.861	
	592.0	16.683	
	593.0	16.971	
	594.0	15.442	
	595.0	15.442	
	596.0	15.291	
	597.0	15.726	
	598.0	15.303	
	599.0	15.250	
	600.0	15.227	
	601.0	15.123	
	602.0	14.818	
	603.0	14.746	
	604.0	13.992	
	605.0	14.561	
	606.0	14.476	
	607.0	12.874	
	608.0	14.568	
	609.0	13.381	
	610.0	12.890	
	611.0	12.822	
	612.0	13.701	
	613.0	13.563	
	614.0	13.139	
	615.0	13.265	
	616.0	13.162	
	617.0	14.395	
	618.0	15.069	
	619.0	15.337	
	620.0	17.184	
	621.0	16.580	
	622.0	19.297	
	623.0	21.025	
	624.0	22.082	
	625.0	22.798	
	626.0	22.898	
	627.0	24.860	
	628.0	23.731	
	629.0	23.403	
	630.0	20.998	
	631.0	20.463	
	632.0	19.515	
	633.0	17.732	
	634.0	17.005	
	635.0	15.157	
	636.0	14.455	
	637.0	13.442	
	638.0	12.650	
	639.0	13.136	
	640.0	12.295	
	641.0	11.911	
	642.0	12.359	
	643.0	11.725	
	644.0	11.890	
	645.0	12.059	
	646.0	13.338	
	647.0	12.227	
	648.0	12.460	
	649.0	12.702	
	650.0	12.654	
	651.0	12.988	
	652.0	14.079	
	653.0	12.204	
	654.0	12.640	
	655.0	12.604	
	656.0	12.543	
	657.0	12.326	
	658.0	13.989	
	659.0	12.752	
	660.0	12.170	
	661.0	12.257	
	662.0	13.246	
	663.0	12.765	
	664.0	12.757	
	665.0	12.400	
	666.0	13.091	
	667.0	12.774	
	668.0	13.104	
	669.0	12.727	
	670.0	13.071	
	671.0	13.382	
	672.0	13.668	
	673.0	12.969	
	674.0	13.253	
	675.0	13.167	
	676.0	13.727	
	677.0	14.135	
	678.0	14.104	
	679.0	14.273	
	680.0	14.230	
	681.0	15.398	
	682.0	14.932	
	683.0	15.115	
	684.0	15.764	
	685.0	15.994	
	686.0	16.371	
	687.0	15.066	
	688.0	17.096	
	689.0	16.301	
	690.0	16.152	
	691.0	16.112	
	692.0	15.444	
	693.0	15.256	
	694.0	15.031	
	695.0	14.948	
	696.0	15.747	
	697.0	16.523	
	698.0	15.651	
	699.0	15.974	
	700.0	15.642	
