File	Name:	


Created:	09:42	02-01-08
Data:	Original

Instrument:	RF-5301
Spectrum	Type:	EX
Scan	Range:	220.0nm	to	400.0nm
EM	Wavelength:	445.0nm
Sample	Pitch:	1.0
Slit	Width:	EX:5.0nm	EM:5.0nm
Scan	Speed:	Fast
Sensitivity:	High
Response	Time:	Auto	
Shutter:	Manual,	Open

	Wavelength	(nm)	Intensity
	220.0	15.471	
	221.0	15.998	
	222.0	14.303	
	223.0	15.075	
	224.0	16.270	
	225.0	16.714	
	226.0	17.209	
	227.0	17.397	
	228.0	16.544	
	229.0	18.257	
	230.0	19.171	
	231.0	21.068	
	232.0	22.213	
	233.0	23.518	
	234.0	25.804	
	235.0	29.450	
	236.0	31.538	
	237.0	32.964	
	238.0	34.602	
	239.0	38.095	
	240.0	42.503	
	241.0	43.267	
	242.0	44.114	
	243.0	42.151	
	244.0	40.814	
	245.0	38.993	
	246.0	39.200	
	247.0	35.970	
	248.0	33.191	
	249.0	34.826	
	250.0	32.432	
	251.0	31.658	
	252.0	29.535	
	253.0	28.582	
	254.0	30.411	
	255.0	29.347	
	256.0	29.545	
	257.0	31.500	
	258.0	30.392	
	259.0	32.277	
	260.0	32.862	
	261.0	37.332	
	262.0	36.761	
	263.0	39.784	
	264.0	42.960	
	265.0	46.127	
	266.0	48.704	
	267.0	54.509	
	268.0	60.930	
	269.0	64.902	
	270.0	74.196	
	271.0	80.931	
	272.0	94.473	
	273.0	100.342	
	274.0	108.205	
	275.0	124.781	
	276.0	137.482	
	277.0	151.561	
	278.0	172.162	
	279.0	188.041	
	280.0	206.262	
	281.0	227.572	
	282.0	252.047	
	283.0	271.609	
	284.0	303.028	
	285.0	330.506	
	286.0	359.696	
	287.0	384.936	
	288.0	416.750	
	289.0	451.361	
	290.0	480.965	
	291.0	530.346	
	292.0	550.276	
	293.0	590.137	
	294.0	627.212	
	295.0	659.820	
	296.0	690.146	
	297.0	733.373	
	298.0	764.485	
	299.0	795.575	
	300.0	813.093	
	301.0	857.237	
	302.0	891.995	
	303.0	931.193	
	304.0	937.030	
	305.0	967.668	
	306.0	992.701	
	307.0	1005.043	
	308.0	1012.460	
	309.0	1015.663	
	310.0	1013.031	
	311.0	1015.663	
	312.0	1015.663	
	313.0	1007.995	
	314.0	988.824	
	315.0	955.330	
	316.0	933.649	
	317.0	881.467	
	318.0	829.654	
	319.0	800.265	
	320.0	730.358	
	321.0	664.181	
	322.0	629.026	
	323.0	553.814	
	324.0	488.699	
	325.0	429.931	
	326.0	375.284	
	327.0	324.145	
	328.0	271.006	
	329.0	231.801	
	330.0	195.339	
	331.0	167.489	
	332.0	141.970	
	333.0	122.239	
	334.0	105.223	
	335.0	92.588	
	336.0	84.221	
	337.0	72.217	
	338.0	67.193	
	339.0	61.437	
	340.0	56.460	
	341.0	55.030	
	342.0	49.810	
	343.0	50.683	
	344.0	49.029	
	345.0	45.292	
	346.0	44.054	
	347.0	40.838	
	348.0	40.786	
	349.0	39.808	
	350.0	40.679	
	351.0	40.276	
	352.0	40.855	
	353.0	40.884	
	354.0	39.248	
	355.0	38.867	
	356.0	41.583	
	357.0	38.942	
	358.0	38.051	
	359.0	40.248	
	360.0	39.803	
	361.0	40.318	
	362.0	39.308	
	363.0	40.219	
	364.0	40.360	
	365.0	39.367	
	366.0	41.280	
	367.0	40.265	
	368.0	40.567	
	369.0	40.846	
	370.0	39.173	
	371.0	39.114	
	372.0	41.809	
	373.0	39.126	
	374.0	40.190	
	375.0	41.269	
	376.0	40.567	
	377.0	42.044	
	378.0	40.116	
	379.0	42.257	
	380.0	44.080	
	381.0	43.782	
	382.0	43.824	
	383.0	43.752	
	384.0	45.149	
	385.0	45.546	
	386.0	43.765	
	387.0	46.177	
	388.0	44.468	
	389.0	47.993	
	390.0	47.065	
	391.0	54.642	
	392.0	52.266	
	393.0	50.710	
	394.0	49.484	
	395.0	47.515	
	396.0	41.287	
	397.0	42.306	
	398.0	39.996	
	399.0	36.831	
	400.0	38.438	
